shiftb	a	b	k
1124.65	10160.85	11798.2	6356.9
1123.19	9804.65	11607.8	6284.1
1121.73	9553.25	11201.3	6300.5
1120.27	8961.25	10661.7	5999.7
1118.81	8728.35	10165.8	5961.3
1117.36	8701.7	9695.8	5646.8
1115.9	8379.8	9469.3	5750.7
1114.44	8567.6	9429.7	5513.7
1112.98	8307.5	9187.9	5672.5
1111.52	8606.5	9134.6	5692.5
1110.06	8696.5	9128.8	5659.4
1108.6	8780.8	9205.7	6167.4
1107.14	8796.5	9205	6285
1105.68	9128.9	9252.1	5928.3
1104.22	9272.9	9450.5	6692.8
1102.76	9350.7	9764	6726.3
1101.3	9523.7	9805.9	6951.5
1099.83	9671.05	9965.9	6643.1
1098.37	9785.85	10135.4	6857.9
1096.91	9760.35	10184.7	6749.5
1095.45	9653.35	10021.4	6671.9
1093.99	9729.25	10115.6	6843.9
1092.52	9520.4	10001.3	7007.6
1091.06	9684.1	9917.3	6871.9
1089.6	9428	9968.3	6803
1088.13	9519.35	10049.4	6686.4
1086.67	9652.85	9937.5	6646.6
1085.2	9854.5	10043.6	6711.1
1083.74	10008.9	10071.1	6754.9
1082.28	9991.9	10156.7	6506.8
1080.81	10127.45	10225.8	7120.9
1079.34	10057.7	10116.8	6854.3
1077.88	10117.5	10125.5	6664.4
1076.41	9974.45	10046.7	6853.4
1074.95	10128.05	9780.9	6636.3
1073.48	10021.3	9638.6	6808.2
1072.01	9863.55	9597.4	6354.5
1070.55	9819.35	9675.5	6560.3
1069.08	9912.2	9561.7	6546.4
1067.61	9814.75	9612.5	6362.2
1066.15	9862.65	9619.7	6310.7
1064.68	9942.9	9592.7	6732.9
1063.21	9916.95	9691.2	6754.8
1061.74	9913.8	9844.7	6546.9
1060.27	10059.85	10003.9	6555.2
1058.8	10137.7	10121	6536.3
1057.33	10154.35	10226.7	6645
1055.86	10172.7	10466.2	6570
1054.39	10214.75	10523	7042.7
1052.92	10228	10818.5	6981.2
1051.45	10323.95	11061.1	7015
1049.98	10453.3	11209.1	7140.6
1048.51	10345.25	11411.9	7164.2
1047.04	10405.4	11532	7147
1045.57	10489.35	11489.5	7257.2
1044.1	10541	11795.8	7321.6
1042.63	10616.95	11938.9	7323.1
1041.15	10797.15	11772.9	7445.3
1039.68	11007.2	12120.3	7300.8
1038.21	11268.65	12338.6	7326.1
1036.74	11631.3	12661.4	7497.3
